AUM_usd,participation_cap,impact_coefficient,gross,mean_participation,p95_participation,p99_participation,max_participation,pct_days_above_participation_cap,naive_capacity_p50_usd,naive_capacity_p05_usd,naive_capacity_worst_day_usd,naive_long_capacity_worst_day_usd,naive_short_capacity_worst_day_usd,mean_impact_bps,total_impact_drag_ann_bps,ann_return_gross,ann_return_net,ann_sharpe_net,sharpe_decay_pct_vs_paper,htb_share_short,top10_short_concentration,borrow_feasible
100000000,0.1,1.0,1.4049873606312526,0.0018653047839114585,0.14083064519911204,0.33087503931540513,0.7574854242025809,0.11777456647398844,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,3.78607471162864,954.0908273304173,0.04581473948709913,-0.04940125325535949,-0.45423365672655197,1.9121157765593413,0.2551332746715955,0.4865081342545344,False
250000000,0.01,0.3,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,1.7958929220467532,452.56501635578184,0.04581473948709913,-0.0004652265567468561,0.04527834915167156,0.9090796201773663,0.2551332746715955,0.4865081342545344,False
250000000,0.01,0.5,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,2.9931548700779227,754.2750272596364,0.04581473948709913,-0.03019338064290744,-0.25577256854932845,1.5135995352396152,0.2551332746715955,0.4865081342545344,False
250000000,0.01,1.0,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,5.986309740155845,1508.5500545192729,0.04581473948709913,-0.10076239396035425,-0.9984647295279949,3.004949256080311,0.2551332746715955,0.4865081342545344,False
250000000,0.05,0.3,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.9530346820809249,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,1.7958929220467532,452.56501635578184,0.04581473948709913,-0.0004652265567468561,0.04527834915167156,0.9090796201773663,0.2551332746715955,0.4865081342545344,False
250000000,0.05,0.5,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.9530346820809249,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,2.9931548700779227,754.2750272596364,0.04581473948709913,-0.03019338064290744,-0.25577256854932845,1.5135995352396152,0.2551332746715955,0.4865081342545344,False
250000000,0.05,1.0,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.9530346820809249,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,5.986309740155845,1508.5500545192729,0.04581473948709913,-0.10076239396035425,-0.9984647295279949,3.004949256080311,0.2551332746715955,0.4865081342545344,False
250000000,0.1,0.3,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.6333092485549133,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,1.7958929220467532,452.56501635578184,0.04581473948709913,-0.0004652265567468561,0.04527834915167156,0.9090796201773663,0.2551332746715955,0.4865081342545344,False
250000000,0.1,0.5,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.6333092485549133,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,2.9931548700779227,754.2750272596364,0.04581473948709913,-0.03019338064290744,-0.25577256854932845,1.5135995352396152,0.2551332746715955,0.4865081342545344,False
250000000,0.1,1.0,1.4049873606312526,0.0046632619597786465,0.35207661299778015,0.8271875982885127,1.8937135605064523,0.6333092485549133,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,5.986309740155845,1508.5500545192729,0.04581473948709913,-0.10076239396035425,-0.9984647295279949,3.004949256080311,0.2551332746715955,0.4865081342545344,False
500000000,0.01,0.3,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,2.539776126928366,640.0235839859482,0.04581473948709913,-0.019039651123881063,-0.14192564113427372,1.2849912472575777,0.2551332746715955,0.4865081342545344,False
500000000,0.01,0.5,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,4.232960211547277,1066.7059733099138,0.04581473948709913,-0.06006135187224437,-0.5656318032598857,2.135806833855192,0.2551332746715955,0.4865081342545344,False
500000000,0.01,1.0,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,8.465920423094554,2133.4119466198276,0.04581473948709913,-0.15537882794558944,-1.594790670638478,4.202390904896542,0.2551332746715955,0.4865081342545344,False
500000000,0.05,0.3,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,2.539776126928366,640.0235839859482,0.04581473948709913,-0.019039651123881063,-0.14192564113427372,1.2849912472575777,0.2551332746715955,0.4865081342545344,False
500000000,0.05,0.5,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,4.232960211547277,1066.7059733099138,0.04581473948709913,-0.06006135187224437,-0.5656318032598857,2.135806833855192,0.2551332746715955,0.4865081342545344,False
500000000,0.05,1.0,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,8.465920423094554,2133.4119466198276,0.04581473948709913,-0.15537882794558944,-1.594790670638478,4.202390904896542,0.2551332746715955,0.4865081342545344,False
500000000,0.1,0.3,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9530346820809249,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,2.539776126928366,640.0235839859482,0.04581473948709913,-0.019039651123881063,-0.14192564113427372,1.2849912472575777,0.2551332746715955,0.4865081342545344,False
500000000,0.1,0.5,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9530346820809249,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,4.232960211547277,1066.7059733099138,0.04581473948709913,-0.06006135187224437,-0.5656318032598857,2.135806833855192,0.2551332746715955,0.4865081342545344,False
500000000,0.1,1.0,1.4049873606312526,0.009326523919557293,0.7041532259955603,1.6543751965770255,3.7874271210129047,0.9530346820809249,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,8.465920423094554,2133.4119466198276,0.04581473948709913,-0.15537882794558944,-1.594790670638478,4.202390904896542,0.2551332746715955,0.4865081342545344,False
1000000000,0.01,0.3,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,3.5917858440935064,905.1300327115637,0.04581473948709913,-0.04472964853204697,-0.405692864069057,1.8146443053595522,0.2551332746715955,0.4865081342545344,False
1000000000,0.01,0.5,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,5.986309740155845,1508.5500545192729,0.04581473948709913,-0.10076239396035425,-0.9984647295279949,3.004949256080311,0.2551332746715955,0.4865081342545344,False
1000000000,0.01,1.0,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,11.97261948031169,3017.1001090385457,0.04581473948709913,-0.2270896206503864,-2.394460073831549,5.808152758697889,0.2551332746715955,0.4865081342545344,False
1000000000,0.05,0.3,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,3.5917858440935064,905.1300327115637,0.04581473948709913,-0.04472964853204697,-0.405692864069057,1.8146443053595522,0.2551332746715955,0.4865081342545344,False
1000000000,0.05,0.5,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,5.986309740155845,1508.5500545192729,0.04581473948709913,-0.10076239396035425,-0.9984647295279949,3.004949256080311,0.2551332746715955,0.4865081342545344,False
1000000000,0.05,1.0,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,11.97261948031169,3017.1001090385457,0.04581473948709913,-0.2270896206503864,-2.394460073831549,5.808152758697889,0.2551332746715955,0.4865081342545344,False
1000000000,0.1,0.3,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,3.5917858440935064,905.1300327115637,0.04581473948709913,-0.04472964853204697,-0.405692864069057,1.8146443053595522,0.2551332746715955,0.4865081342545344,False
1000000000,0.1,0.5,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,5.986309740155845,1508.5500545192729,0.04581473948709913,-0.10076239396035425,-0.9984647295279949,3.004949256080311,0.2551332746715955,0.4865081342545344,False
1000000000,0.1,1.0,1.4049873606312526,0.018653047839114586,1.4083064519911206,3.308750393154051,7.574854242025809,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,11.97261948031169,3017.1001090385457,0.04581473948709913,-0.2270896206503864,-2.394460073831549,5.808152758697889,0.2551332746715955,0.4865081342545344,False
2000000000,0.01,0.3,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,5.079552253856732,1280.0471679718964,0.04581473948709913,-0.07993481226049781,-0.7755555847765608,2.5573405316798414,0.2551332746715955,0.4865081342545344,False
2000000000,0.01,0.5,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,8.465920423094554,2133.4119466198276,0.04581473948709913,-0.15537882794558944,-1.594790670638478,4.202390904896542,0.2551332746715955,0.4865081342545344,False
2000000000,0.01,1.0,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,16.931840846189107,4266.823893239655,0.04581473948709913,-0.31838699180909535,-3.4142977055692247,7.856019489094829,0.2551332746715955,0.4865081342545344,False
2000000000,0.05,0.3,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,5.079552253856732,1280.0471679718964,0.04581473948709913,-0.07993481226049781,-0.7755555847765608,2.5573405316798414,0.2551332746715955,0.4865081342545344,False
2000000000,0.05,0.5,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,8.465920423094554,2133.4119466198276,0.04581473948709913,-0.15537882794558944,-1.594790670638478,4.202390904896542,0.2551332746715955,0.4865081342545344,False
2000000000,0.05,1.0,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,16.931840846189107,4266.823893239655,0.04581473948709913,-0.31838699180909535,-3.4142977055692247,7.856019489094829,0.2551332746715955,0.4865081342545344,False
2000000000,0.1,0.3,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,5.079552253856732,1280.0471679718964,0.04581473948709913,-0.07993481226049781,-0.7755555847765608,2.5573405316798414,0.2551332746715955,0.4865081342545344,False
2000000000,0.1,0.5,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,8.465920423094554,2133.4119466198276,0.04581473948709913,-0.15537882794558944,-1.594790670638478,4.202390904896542,0.2551332746715955,0.4865081342545344,False
2000000000,0.1,1.0,1.4049873606312526,0.03730609567822917,2.816612903982241,6.617500786308102,15.149708484051619,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,16.931840846189107,4266.823893239655,0.04581473948709913,-0.31838699180909535,-3.4142977055692247,7.856019489094829,0.2551332746715955,0.4865081342545344,False
5000000000,0.01,0.3,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,8.031477308014543,2023.9322816196648,0.04581473948709913,-0.1460512409333219,-1.4919204851171544,3.9958242673035227,0.2551332746715955,0.4865081342545344,False
5000000000,0.01,0.5,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,13.385795513357573,3373.2204693661083,0.04581473948709913,-0.2542649875565919,-2.699263580686085,6.420207993345553,0.2551332746715955,0.4865081342545344,False
5000000000,0.01,1.0,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,20738714.266001713,7100809.397240269,1320157.415639672,5435672.953835656,1320157.415639672,26.771591026715146,6746.440938732217,0.04581473948709913,-0.4692625034982647,-5.008557389244618,11.057344155109675,0.2551332746715955,0.4865081342545344,False
5000000000,0.05,0.3,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,8.031477308014543,2023.9322816196648,0.04581473948709913,-0.1460512409333219,-1.4919204851171544,3.9958242673035227,0.2551332746715955,0.4865081342545344,False
5000000000,0.05,0.5,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,13.385795513357573,3373.2204693661083,0.04581473948709913,-0.2542649875565919,-2.699263580686085,6.420207993345553,0.2551332746715955,0.4865081342545344,False
5000000000,0.05,1.0,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,103693571.33000857,35504046.986201346,6600787.078198359,27178364.76917828,6600787.078198359,26.771591026715146,6746.440938732217,0.04581473948709913,-0.4692625034982647,-5.008557389244618,11.057344155109675,0.2551332746715955,0.4865081342545344,False
5000000000,0.1,0.3,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,8.031477308014543,2023.9322816196648,0.04581473948709913,-0.1460512409333219,-1.4919204851171544,3.9958242673035227,0.2551332746715955,0.4865081342545344,False
5000000000,0.1,0.5,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,13.385795513357573,3373.2204693661083,0.04581473948709913,-0.2542649875565919,-2.699263580686085,6.420207993345553,0.2551332746715955,0.4865081342545344,False
5000000000,0.1,1.0,1.4049873606312526,0.09326523919557292,7.041532259955603,16.54375196577026,37.87427121012905,0.9779624277456648,207387142.66001713,71008093.97240269,13201574.156396719,54356729.53835656,13201574.156396719,26.771591026715146,6746.440938732217,0.04581473948709913,-0.4692625034982647,-5.008557389244618,11.057344155109675,0.2551332746715955,0.4865081342545344,False
